,거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"130,000",,2000,2021,청운동,청운현대,1,14,129.76,,56-45,11110,2,,
1,"150,000",,2008,2021,사직동,광화문스페이스본(106동),1,7,144.52,,9-1,11110,6,,
2,"175,000",,2004,2021,내수동,경희궁의아침2단지,1,15,174.55,,71,11110,4,,
3,"175,000",,2004,2021,내수동,경희궁의아침2단지,1,15,174.55,,71,11110,4,21.04.08,O
4,"180,000",,2004,2021,내수동,경희궁의아침3단지,1,17,123.13,,72,11110,13,21.04.19,O
5,"180,000",,2004,2021,내수동,경희궁의아침3단지,1,17,123.13,,72,11110,13,,
6,"127,000",,2008,2021,견지동,대성스카이렉스,1,25,149.8,,110,11110,11,,
7,"29,800",,2003,2021,익선동,현대뜨레비앙,1,7,45.5,,55,11110,5,,
8,"29,500",,2003,2021,익선동,현대뜨레비앙,1,26,45.5,,55,11110,4,,
9,"86,500",,2006,2021,인의동,효성쥬얼리시티,1,25,84.98,,48-2,11110,9,,
10,"15,000",,2011,2021,충신동,CS타워,1,23,22.17,,62-2,11110,7,,
11,"63,000",,2003,2021,명륜1가,송림아마레스아파트,1,15,84.62,,2-12,11110,1,,
12,"110,000",,1995,2021,명륜2가,아남1,1,12,84.9,,4,11110,7,,
13,"160,000",,1999,2021,명륜2가,아남3,1,12,172.17,,237,11110,8,,
14,"160,000",,1999,2021,명륜2가,아남3,1,22,172.17,,237,11110,8,,
15,"65,000",,1993,2021,창신동,창신쌍용2,1,2,64.66,,703,11110,14,,
16,"88,000",,1993,2021,창신동,창신쌍용2,1,2,115.53,,703,11110,2,,
17,"67,500",,1993,2021,창신동,창신쌍용2,1,16,64.66,,703,11110,7,,
18,"74,000",,1993,2021,창신동,창신쌍용2,1,16,79.87,,703,11110,14,,
19,"31,000",,2002,2021,창신동,일우,1,18,59.3,,602,11110,4,,
20,"92,000",,1999,2021,창신동,두산,1,19,84.9,,232,11110,5,,
21,"73,000",,1992,2021,창신동,창신쌍용1,1,21,79.87,,702,11110,2,,
22,"64,000",,1993,2021,창신동,창신쌍용2,1,23,64.66,,703,11110,4,,
23,"83,500",,2003,2021,창신동,창신이수,1,23,84.5,,23-816,11110,9,,
24,"102,000",,1999,2021,창신동,두산,1,25,84.9,,232,11110,6,,
25,"32,000",,1994,2021,창신동,창림,1,26,59.67,,639-20,11110,4,,
26,"61,500",,1993,2021,창신동,창신쌍용2,1,27,54.7,,703,11110,8,,
27,"74,000",,1993,2021,창신동,창신쌍용2,1,28,79.87,,703,11110,7,,
28,"63,500",,1992,2021,창신동,창신쌍용1,1,29,54.7,,702,11110,9,,
29,"107,750",,2004,2021,숭인동,롯데캐슬천지인,1,4,111.73,,76,11110,5,,
30,"84,000",,2009,2021,숭인동,종로청계힐스테이트,1,11,59.9426,,766,11110,8,,
31,"10,800",,2013,2021,숭인동,종로동광모닝스카이,1,13,15.855,,1421-1,11110,11,,
32,"81,000",,2008,2021,숭인동,종로센트레빌,1,14,59.92,,2-1,11110,3,,
33,"52,000",,2014,2021,숭인동,할리우드파크아파트,1,25,75.25,,56-135,11110,4,,
34,"53,000",,2014,2021,숭인동,할리우드파크아파트,1,30,69.94,,56-135,11110,2,,
35,"12,000",,2014,2021,숭인동,삼전솔하임4차,1,30,15.09,,318-2,11110,14,,
36,"190,000",,2017,2021,평동,경희궁자이(3단지),1,7,84.836,,233,11110,7,,
37,"175,000",,2017,2021,홍파동,경희궁자이(2단지),1,9,84.907,,199,11110,4,21.04.14,O
38,"175,000",,2017,2021,홍파동,경희궁자이(2단지),1,9,84.907,,199,11110,4,,
39,"114,000",,2017,2021,교북동,경희궁자이(4단지),1,16,45.879,,126,11110,17,,
40,"16,000",,1971,2021,행촌동,대성아파트,1,23,30.28,,41-1,11110,1,,
41,"70,000",,1998,2021,평창동,삼성,1,9,84.93,,596,11110,6,,
42,"123,000",,2009,2021,평창동,엘리시아,1,12,236.07,,66-1,11110,5,,
43,"67,900",,1996,2021,평창동,일성빌라트,1,18,84.99,,145-5,11110,5,,
44,"112,400",,2000,2021,무악동,현대,1,2,84.92,,82,11110,6,21.04.13,O
45,"112,400",,2000,2021,무악동,현대,1,2,84.92,,82,11110,6,,
46,"89,970",,2000,2021,무악동,현대,1,9,60,,82,11110,4,,
47,"125,000",,2015,2021,무악동,인왕산2차아이파크,1,9,84.0283,,88,11110,4,,
48,"116,000",,2000,2021,무악동,현대,1,14,84.92,,82,11110,14,,
49,"138,000",,2019,2021,무악동,경희궁롯데캐슬,1,15,59.6737,,89,11110,4,,
50,"86,470",,2000,2021,무악동,현대,1,17,60,,82,11110,1,21.02.26,O
51,"86,500",,2000,2021,무악동,현대,1,17,60,,82,11110,1,,
52,"135,000",,2019,2021,무악동,경희궁롯데캐슬,1,22,59.6737,,89,11110,13,,
53,"120,000",,2008,2021,무악동,인왕산아이파크,1,27,114.931,,60,11110,9,,
54,"109,990",,2000,2021,무악동,현대,1,30,84.92,,82,11110,9,,
55,"155,000",,2008,2021,사직동,광화문스페이스본(101동~105동),2,6,126.34,,9,11110,1,,
56,"169,000",,2004,2021,내수동,경희궁의아침4단지,2,17,124.17,,73,11110,8,,
57,"74,000",,2005,2021,수송동,로얄팰리스스위트,2,24,83.26,,85,11110,13,,
58,"32,000",,2003,2021,익선동,현대뜨레비앙,2,18,46.64,,55,11110,3,21.05.25,O
59,"87,500",,2006,2021,인의동,효성쥬얼리시티,2,22,84.64,,48-2,11110,7,,
60,"15,000",,2011,2021,충신동,CS타워,2,5,22.17,,62-2,11110,13,,
61,"66,500",,1992,2021,창신동,창신쌍용1,2,1,54.7,,702,11110,4,,
62,"79,400",,1992,2021,창신동,창신쌍용1,2,2,79.87,,702,11110,6,,
63,"77,800",,1993,2021,창신동,창신쌍용2,2,4,79.87,,703,11110,14,,
64,"68,000",,1993,2021,창신동,창신쌍용2,2,6,64.66,,703,11110,8,,
65,"74,800",,2003,2021,창신동,창신이수,2,22,68.06,,23-816,11110,6,,
66,"64,000",,1992,2021,창신동,창신쌍용1,2,28,54.7,,702,11110,10,,
67,"54,000",,1992,2021,창신동,창신쌍용1,2,28,54.7,,702,11110,10,21.03.12,O
68,"104,000",,2009,2021,숭인동,종로청계힐스테이트,2,4,84.9478,,766,11110,14,,
69,"92,400",,2009,2021,숭인동,종로청계힐스테이트,2,6,59.9426,,766,11110,6,,
70,"98,000",,2008,2021,숭인동,종로센트레빌,2,27,59.92,,2-1,11110,8,,
71,"10,300",,2012,2021,숭인동,삼전솔하임2차,2,27,16.67,,296-19,11110,4,,
72,"36,000",,2002,2021,숭인동,동문(482-0),2,27,60,,482,11110,-1,,
73,"185,000",,2017,2021,평동,경희궁자이(3단지),2,15,84.836,,233,11110,17,,
74,"185,000",,2017,2021,홍파동,경희궁자이(2단지),2,24,84.836,,199,11110,21,,
75,"85,500",,2017,2021,교북동,경희궁자이(4단지),2,5,37.2635,,126,11110,2,,
76,"85,900",,2017,2021,교북동,경희궁자이(4단지),2,6,37.2635,,126,11110,8,,
77,"89,500",,2017,2021,교북동,경희궁자이(4단지),2,20,37.2635,,126,11110,11,,
78,"23,000",,1971,2021,행촌동,대성아파트,2,16,45.39,,41-1,11110,1,,
79,"74,000",,2017,2021,평창동,밀레니엄,2,1,108.18,,179-5,11110,3,,
80,"44,000",,2005,2021,평창동,형우럭스빌(33-1),2,9,91.87,,33-1,11110,5,,
81,"54,000",,1998,2021,평창동,삼성,2,9,59.97,,596,11110,10,,
82,"105,000",,2001,2021,평창동,롯데낙천대,2,10,133.34,,72,11110,5,,
83,"108,000",,2001,2021,평창동,롯데낙천대,2,10,110.53,,72,11110,8,,
84,"50,000",,2004,2021,부암동,부암스카이뷰,2,10,81.08,,218-1,11110,5,,
85,"119,950",,2000,2021,무악동,현대,2,2,84.92,,82,11110,15,,
86,"119,960",,2000,2021,무악동,현대,2,13,84.92,,82,11110,4,,
87,"163,000",,2019,2021,무악동,경희궁롯데캐슬,2,16,84.8792,,89,11110,5,,
88,"126,000",,2015,2021,무악동,인왕산2차아이파크,2,19,84.4541,,88,11110,12,,
89,"140,000",,2008,2021,무악동,인왕산아이파크,2,20,114.931,,60,11110,11,,
90,"120,000",,2008,2021,무악동,인왕산아이파크,2,20,84.858,,60,11110,2,,
91,"124,950",,2000,2021,무악동,현대,2,20,84.92,,82,11110,10,,
92,"151,000",,2019,2021,무악동,경희궁롯데캐슬,2,25,84.8792,,89,11110,1,,
93,"120,000",,2008,2021,무악동,인왕산아이파크,2,27,84.858,,60,11110,2,,
94,"130,000",,2008,2021,무악동,인왕산아이파크,2,28,84.858,,60,11110,13,,
95,"144,000",,2008,2021,무악동,인왕산아이파크,2,28,84.858,,60,11110,13,,
96,"155,000",,2008,2021,사직동,광화문스페이스본(101동~105동),3,3,158.99,,9,11110,7,,
97,"134,000",,2008,2021,사직동,광화문스페이스본(101동~105동),3,6,95.88,,9,11110,5,,
98,"134,500",,2008,2021,사직동,광화문스페이스본(101동~105동),3,6,95.88,,9,11110,5,21.05.28,O
99,"144,000",,2008,2021,사직동,광화문스페이스본(101동~105동),3,13,108.07,,9,11110,5,,
100,"144,000",,2008,2021,사직동,광화문스페이스본(101동~105동),3,13,108.07,,9,11110,5,21.05.03,O
101,"184,000",,2008,2021,사직동,광화문스페이스본(101동~105동),3,20,159.01,,9,11110,5,,
102,"33,000",,2003,2021,익선동,현대뜨레비앙,3,11,48.54,,55,11110,6,,
103,"26,000",,2003,2021,익선동,현대뜨레비앙,3,22,36.08,,55,11110,6,,
104,"25,000",,2003,2021,익선동,현대뜨레비앙,3,24,45.5,,55,11110,3,,
105,"30,000",,2003,2021,익선동,현대뜨레비앙,3,29,46.64,,55,11110,4,,
106,"78,000",,2006,2021,인의동,효성쥬얼리시티,3,5,84.98,,48-2,11110,8,,
107,"26,000",,2017,2021,효제동,포레스트힐시티,3,15,22.0584,,65-2,11110,11,,
